Week,face_mask,Hand_sanitizer,Quarantine,COVID_19_testing
08/12/2019,2,1,0,<1
15/12/2019,1,1,<1,<1
22/12/2019,1,<1,0,<1
29/12/2019,1,<1,<1,<1
05/01/2020,1,<1,<1,<1
12/01/2020,1,<1,<1,<1
19/01/2020,1,<1,1,<1
26/01/2020,2,1,1,<1
02/02/2020,4,1,2,<1
09/02/2020,2,1,2,<1
16/02/2020,2,1,1,<1
23/02/2020,9,3,2,1
01/03/2020,6,31,4,2
08/03/2020,5,53,16,9
15/03/2020,8,35,36,16
22/03/2020,13,21,31,11
29/03/2020,38,21,25,11
05/04/2020,34,15,20,9
12/04/2020,39,12,20,11
19/04/2020,37,12,20,12
26/04/2020,26,11,18,10
03/05/2020,21,9,14,9
10/05/2020,22,8,15,13
17/05/2020,18,8,13,13
24/05/2020,15,6,11,12
31/05/2020,14,5,9,12
07/06/2020,11,6,9,10
14/06/2020,13,4,8,14
21/06/2020,16,7,18,22
28/06/2020,18,4,14,26
05/07/2020,14,6,12,27
12/07/2020,16,11,14,25
19/07/2020,14,15,14,25
26/07/2020,15,10,17,27
02/08/2020,11,8,17,26
09/08/2020,13,6,19,31
16/08/2020,12,5,16,29
23/08/2020,13,5,15,27
30/08/2020,11,4,11,24
06/09/2020,12,3,11,23
13/09/2020,9,4,11,24
20/09/2020,8,3,11,26
27/09/2020,9,3,10,30
04/10/2020,9,3,10,41
11/10/2020,8,2,9,36
18/10/2020,8,3,10,43
25/10/2020,6,2,11,56
01/11/2020,5,2,7,57
08/11/2020,7,2,9,88
15/11/2020,7,2,10,100
22/11/2020,8,2,10,77
29/11/2020,6,2,12,62
