Week,face_mask,Hand_sanitizer,Quarantine,COVID_19_testing
08/12/2019,4,1,<1,1
15/12/2019,3,1,<1,<1
22/12/2019,2,1,<1,<1
29/12/2019,2,1,<1,<1
05/01/2020,3,1,1,<1
12/01/2020,2,1,1,<1
19/01/2020,3,1,1,1
26/01/2020,5,2,2,1
02/02/2020,3,1,2,<1
09/02/2020,4,1,1,<1
16/02/2020,2,1,1,<1
23/02/2020,10,5,2,1
01/03/2020,8,24,4,2
08/03/2020,10,74,22,11
15/03/2020,17,53,68,24
22/03/2020,26,32,47,18
29/03/2020,59,34,42,18
05/04/2020,65,27,38,12
12/04/2020,41,21,35,14
19/04/2020,49,21,34,21
26/04/2020,49,18,26,17
03/05/2020,37,16,25,16
10/05/2020,31,16,21,17
17/05/2020,26,14,18,16
24/05/2020,23,9,13,13
31/05/2020,17,8,9,15
07/06/2020,16,6,7,14
14/06/2020,19,6,6,16
21/06/2020,21,12,8,25
28/06/2020,24,8,10,38
05/07/2020,29,10,9,44
12/07/2020,37,10,8,48
19/07/2020,27,14,9,40
26/07/2020,24,13,8,39
02/08/2020,24,10,8,37
09/08/2020,22,7,6,33
16/08/2020,15,6,7,31
23/08/2020,16,5,7,28
30/08/2020,14,4,5,27
06/09/2020,17,4,5,23
13/09/2020,13,3,5,23
20/09/2020,12,4,5,27
27/09/2020,11,3,7,31
04/10/2020,12,3,5,39
11/10/2020,14,3,6,39
18/10/2020,12,3,6,48
25/10/2020,13,3,8,65
01/11/2020,8,2,7,65
08/11/2020,11,2,11,100
15/11/2020,10,3,12,99
22/11/2020,8,2,11,68
29/11/2020,8,3,12,56
